Story ID,Issue,Month,Section,Questions,Story Headline (If published),Story Description or Prompt,Story state,Pitch Date,Expressed Interest,Confirmed Writer(s),Editor,Second Editor,Story Doc,Media,Story Notes,Build Notes
NYC-SP-STR-101,Unpublished,,Business Spotlight,What's the story behind Tacos el Bronco?,N/A,"Tacos el Bronco is everywhere — the restaurant, the trucks, the line at midnight. But who built this thing, and how? Where did it start? What does it take to run a food operation that big in a neighborhood like this? This could be a profile of the people behind it, a history of the business, or just a really good conversation over a taco.",Unclaimed,,Carmen Rivera,,Unassigned,Unassigned,,,,
NYC-SP-STR-102,SPS: Anniversary Issue,09-2026,Neighborhood Spotlight,"Who makes the Sunset Park Sun, and why do they do it?",Meet the Team Behind the Sunset Park Sun,"The Sunset Park Sun is made by a group of neighbors who meet at the library every month to pitch, report, and edit stories together. This is a look at who they are and why they do it.",Unclaimed,,,,Unassigned,Unassigned,,,"7/5/26 — Anniversary issue candidate (""Meet the Makers"" idea from 5/16 recap); could become a recurring monthly feature. Linked to September pending anniversary issue timing.  Claimed by Terry. Story about the working group itself.  7/27/26 — Terry named the subjects: Mattie on illustrations, Carmen and Maureen on What's Behind the Menu, the printer, and the library team. Format is short interviews or mini profiles, with a different person interviewing each subject. This supersedes the 'Claimed by Terry' line above — Terry is asking for several volunteers, not holding it himself.",
NYC-SP-STR-103,Unpublished,,Nature,What wildlife is living right outside your door in Sunset Park?,N/A,"You don't have to leave Sunset Park to find wildlife. This story looks at the birds, insects, and animals sharing the neighborhood with us, and how to spot them right outside your door.",Claimed,,,Charlie Dewitt,Unassigned,Unassigned,Backyard Wildlife in Sunset Park - Google Docs,,,Needs a story prompt (the community question this answers).
NYC-SP-STR-104,Unpublished,,Business Spotlight,"Who runs the neighborhood comic book shop, and how does a store like that survive in 2026?",N/A,"There's a comic book shop in the neighborhood. Who runs it, who shops there, and how does a store like that survive in 2026? Small-business profile with a specific crowd behind it.",Claimed,,,Angela Sharp,Unassigned,Unassigned,,,Their shop is closing at the end of this February,Needs a story prompt (the community question this answers).
NYC-SP-STR-105,SPS: May 2026,05-2026,Nature,Where can you spot the falcons of Sunset Park?,Bird of the Month: The Falcons of Sunset Park,"Charlie D.'s Bird of the Month turned into a spotlight on the falcon family, covering the two species found in the neighborhood: the peregrine falcon, the fastest bird in the world at over 200 miles per hour in a hunting stoop, and the American kestrel, one of the smallest falcons in the city. The piece described where to look for both — high in the sky, in tall trees, atop St. Michael's spire, and around Bush Terminal Park — along with their calls, cavity nesting, and hunting behavior, and pointed readers to the May 23 neighborhood bird walk on the back page.",Answered,,,Charlie Dewitt,Terry Parris Jr.,Rebecca McCray,,,May,
NYC-SP-STR-106,Unpublished,,Business Spotlight,Who's behind the home kitchen taking over Sunset Park?,N/A,"Someone in Sunset Park is making Filipino empanadas out of their home kitchen and people can't stop talking about them. The business is called ijustbecookin. You sign up for a list. You pre-order. They sell out. How does something like this start? What does it take to run a food business from your house? Who's the person behind it, and what pushed them to begin?",Unclaimed,,Angela Sharp,,Unassigned,Unassigned,,,"I saw on IG that this Filipino empanada made in Sunset Park is blowing up. The business is called ijustbecookin (Insta @ijustbecookin). You sign up for a list serve and can pre-order the empanadas. I haven't tried them yet, but so far great reviews. I believe they're selling them from their house. Old school style.  IG Story: https://www.instagram.com/reel/DULv3lYieup/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",
NYC-SP-STR-107,Unpublished,,Neighborhood News,Where do you go when you're sick in Sunset Park?,N/A,"When you're sick in Sunset Park, where do you go? Is there a pharmacy close by? A clinic? A doctor who speaks your language? This story could be a map, a set of conversations, a resource guide — or all of the above. It starts with a simple question that not everyone has an easy answer to.",Unclaimed,,Maureen Cullen,,Unassigned,Unassigned,,,Email MC,
NYC-SP-STR-108,Unpublished,,Neighborhood Spotlight,Have you heard about the Sunset Park author coming to the library?,N/A,"There's a Sunset Park author appearing at the library for the monthly book group. Do you know who she is? What does she write about, and does it connect to the neighborhood she comes from? This one has a natural starting point — the event — and a wider story waiting behind it.",Unclaimed,,,,Unassigned,Unassigned,,,In late April a Sunset Park author is going to be making an appearance at the library for the monthly book group. (The group is reading and discussing her book that month.) I can get details from the librarians; I don't think it's posted on the website yet. Likely to be the last Thursday of the month (April 30) This could be an article idea for May but probably a pretty short time to write it.,
NYC-SP-STR-109,Unpublished,,Nature,Where does your bulk trash actually go?,N/A,"Every week, sofas and mattresses and mystery appliances appear on Sunset Park sidewalks. Then they disappear. Where do they go? Who picks them up? Is the system working the same on every block? This one could be as simple as following the truck, or as deep as the city's whole approach to bulk waste. You get to decide how far you want to take it.",Unclaimed,,Edy Radovic,,Unassigned,Unassigned,,,Emailed request,
NYC-SP-STR-110,Unpublished,,Neighborhood Spotlight,What does the Sunset Park Library's Young Adult librarian wish more people knew?,N/A,"The YA librarian at the Sunset Park branch reached out to the Sun on her own. What does she see teens reading, what does the branch offer them, and what does she wish more people knew? There may also be a standing YA books column hiding in this conversation.",On hold,,,Janet Li,Terry Parris Jr.,Unassigned,https://docs.google.com/document/d/1MbNkdwe9C_1aElw57RxEHrtuvC264xwyMrZ2FNQwb48/edit?tab=t.0,,"3/18/26 — Status moved from On Hold to Pitched. Heather Jensen (YA Librarian, Sunset Park + Mapleton branches) reached out via email as a fan of Bird of the Month. Terry replied 3/17 and explicitly pitched a YA Corner concept for the Sun — a few lines on upcoming books, short reviews or synopses from young community members. Heather is a live inbound contact and potential contributor.",Needs a story prompt (the community question this answers).
NYC-SP-STR-111,Unpublished,,Neighborhood News,What's happening at the rec center?,N/A,The Sunset Park Recreation Center has been here for generations. But what's actually going on inside it right now? Are the programs running? Is it getting what it needs? What do neighbors want from it that they're not getting? This could be a status check or a deeper look at what a rec center means to a neighborhood.,Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-112,Unpublished,,Nature,Did you know oysters are coming back to New York Harbor?,N/A,"There are people working right now to bring oysters back to the waters off Sunset Park. They think it's possible. They think it matters. What does a cleaner harbor actually mean for a neighborhood that lives alongside it? Who's doing this work, and why? This story could go toward the science, toward the people, or toward what the waterfront was before and what it could be again.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-113,Unpublished,,Neighborhood News,"When it rains hard, why do some streets flood?",N/A,"When a big rainstorm hits, certain streets in Sunset Park go underwater. You've probably seen it. But why those streets? Who's responsible for the drains, the pipes, the infrastructure underneath? Is anyone actually fixing it? This one starts with a puddle and goes as deep as you want to take it.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-115,SPS: May 2026,05-2026,Business Spotlight,What's behind the counter at Patel Grocery?,What's Behind the Counter at... Patel Grocery,"Maureen C. and Carmen R. profiled Patel Grocery at 5303 4th Avenue, the Indian grocery Ishwar Patel opened in 1983 after arriving in Sunset Park from Gujarat in 1973 and working as a taxi driver, street vendor, and spice warehouse worker. His son Vipul, 34, has run the store since taking over in 2020, and the story covered the 15 varieties of lentils and the only fresh curry leaves in the area, the machete his father once kept behind the counter, customers coming from Bay Ridge and Midwood, the tariffs and shipping delays now squeezing the business, and the store's role during Diwali and Holi.",Answered,,,"Carmen Rivera, Maureen Cullen",Alfred Ng,Terry Parris Jr.,Patel Grocery,,7/5/26 — Published in May 2026 issue.  3/9/26 — Carmen and Maureen pivoted from Generoso's after no response. Patel's owner was friendly and eager to be interviewed. Carmen traveling most of April; targeting May or June issue.,
NYC-SP-STR-116,Unpublished,,Neighborhood Spotlight,What did Sunset Park look like in the past?,N/A,"Someone in this neighborhood has an old photo. Or a story their grandmother told them. Or a memory of a corner that looks completely different now. This is an open invitation — bring a historical image and a piece of what it means, and we'll pair them together. What moment do you want people to remember?",Unclaimed,,,,Unassigned,Unassigned,,,Cinthya suggested it as a way to pair a historical photo to each issue,
NYC-SP-STR-117,Unpublished,,Arts & Culture,Did you know the Irish Haven has been in the movies?,N/A,"The Irish Haven has shown up in films and on TV. But what's the actual story of this place? How long has it been here? Who are the regulars? What does it mean to be one of Sunset Park's oldest bars, and to have the cameras notice? This one starts with a barstool and a question.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-118,Unpublished,,Neighborhood Spotlight,What can hundreds of photos of 4th Avenue tell us about how a neighborhood changes?,N/A,A Sunset Park resident has spent years photographing every business along 4th Avenue. This story opens the archive and asks what hundreds of photos of one street can tell us about how a neighborhood changes.,Unclaimed,,Maureen Cullen,,Unassigned,Unassigned,,,Shared by Maureen. Her husband has hundreds of photos of 4th Ave businesses.,Needs a story prompt (the community question this answers).
NYC-SP-STR-119,Unpublished,,Nature,"Who owns Sunset Park's vacant lots, and why are they empty?",N/A,"Empty lots sit behind fences all over the neighborhood. Who owns them, why are they empty, and what could go there? Start by picking two or three specific lots and following the paper trail.",On hold,,,Susan Parker,Terry Parris Jr.,Unassigned,Newsroom Vacant Lots PDF - layout.docx,,,Needs a story prompt (the community question this answers).
NYC-SP-STR-120,Unpublished,,Arts & Culture,What's going on inside Tabla Rasa Gallery?,N/A,Tabla Rasa Gallery has been quietly doing something interesting in Sunset Park. Who are the artists they show? Who comes through the door? What does it mean to run an independent gallery in this neighborhood — and who is it actually for? This one starts with a visit and a few good questions.,Unclaimed,,,,Unassigned,Unassigned,,,https://www.tablarasagallery.com/,
NYC-SP-STR-121,SPS: Summer 2026,07-2026,Arts & Culture,Who has been teaching Sunset Park's musicians for 26 years?,Teaching Generations of Sunset Park Musicians,"Madeline I. profiled Krassi Ivanchev, who has taught piano at the Sunset Park School of Music for 26 years after 15 years teaching in her native Bulgaria, where she earned bachelor's and master's degrees at the Academy of Music, Dance and Fine Arts in Plovdiv. The piece traced her 1999 move to New York and her hiring by school director Tom Piercy two months later, her weekend work leading four choirs as musical director of the Bulgarian Chorus-School Gergana, and what she tells students about discipline, confidence, and what learning music opens up.",Answered,,,Madeline Innocent,Terry Parris Jr.,Ciel Jimenez Petrinovic,,,Notes back to Madeline. Madeline has photos.,
NYC-SP-STR-122,Unpublished,,Fun,Which Sunset Park bodega has the best cat?,N/A,"Every bodega cat has a name. Every one has a story. Some got there by accident, some by invitation, some by sheer persistence. Sunset Park has a lot of bodegas, which means it has a lot of cats. This one is about finding them, meeting the people who love them, and figuring out what these particular animals say about the neighborhood they've decided to call home.",Unclaimed,,Anna Yang,,Unassigned,Unassigned,,,Inspired by Ahdya's bodega cats calendar,
NYC-SP-STR-123,SPS: Summer 2026,07-2026,Essay,What is it like to come out and learn to be yourself?,Learning to Be Myself,"Charlie D. wrote about coming to understand he was gay, from first wondering the summer before his senior year while watching Glee, to reading Heartstopper, to finding public figures who inspired him and coming out to his parents and closest friends. An editor's note explained the essay was written for Pride Month and held because the Sun did not publish in June, and Charlie closed by pushing back on the stereotype that theater or television makes someone gay.",Answered,,,Charlie Dewitt,Alfred Ng,Terry Parris Jr.,,,Sent to Charlie for approval. Have photos.,
NYC-SP-STR-124,Unpublished,,Neighborhood Spotlight,Whatever happened to Sunset Park's movie theaters?,N/A,"Sunset Park used to have movie theaters. Most of them are gone now. What did people watch there? Who remembers going? What do those buildings hold today? This is part history, part walking tour, part neighborhood memory — and it starts by asking the right people the right questions.",Unclaimed,,Maureen Cullen,,Unassigned,Unassigned,,,STR-130 asked the broader question — what happened to the buildings that used to be something else — which could carry a recurring series later.,
NYC-SP-STR-125,Unpublished,,Arts & Culture,Have you been to the waterfront park on the Sunset Park shore?,N/A,"Bush Terminal Park sits right on the Sunset Park waterfront, and a lot of people still don't know it's there. How did it get built? Who uses it, and for what? What does it feel like to stand at the edge of the neighborhood and look out at the water? This story starts with a walk.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-126,SPS: May 2026,05-2026,Event Spotlight,What does a world-famous DJ set at Industry City say about how Sunset Park is changing?,A Nightlife Moment Comes to Industry City,"Susan P. wrote about Armin van Buuren's May 16 open-air DJ set at Industry City, using a StreetEasy subway ad about making a New York era last as her way into memories of the city's club scene at Sound Factory, Twilo, Cielo, and Webster Hall. The piece framed the booking as unusual for a place better known for makers and small businesses, and as one more sign of how Sunset Park keeps changing, with event details and ticket information running alongside.",Answered,,,Susan Parker,Terry Parris Jr.,Alfred Ng,Mai (May Submission),,7/5/26 — Published in May 2026 issue.  Drafted article for the May issues,
NYC-SP-STR-127,Unpublished,,Neighborhood Spotlight,What's the history behind our street names?,N/A,"Every street in Sunset Park has a name, and every name has a reason. Who were these people? When were the streets named, and by whom? Do the names still mean anything to the people who live on them? This one could be a short dig into the history books or a longer conversation with the block.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-128,Unpublished,,Neighborhood News,Where does the NYPD train its K-9 dogs?,N/A,"Somewhere in Sunset Park, the NYPD trains its K-9 units. The facility is here, in the neighborhood. Where exactly is it? What happens inside? How do neighbors feel about having it here? This is a story about something most people don't know exists — and would probably want to.",Unclaimed,,,,Unassigned,Unassigned,,,Mattie mentioned it and googled it,
NYC-SP-STR-129,Unpublished,,Neighborhood News,Is there a community science lab in Sunset Park?,N/A,"Genspace is a community biology lab that opens science to anyone curious enough to show up. Is there a connection to Sunset Park? Could there be? This story needs some digging before it takes shape. Whatever you find, the question of what community science access looks like here is worth asking.",Unclaimed,,Angela Sharp,,Unassigned,Unassigned,,,FLAG FOR REVIEW: Genspace is a community biology lab. Unclear if there is a Sunset Park location or connection — needs verification before this story moves forward.,
NYC-SP-STR-131,Unpublished,,Business Spotlight,What keeps people coming back to Don Paco?,N/A,"Don Paco has been part of this neighborhood for a long time. People keep coming back. But what's the actual story — who runs it, how long have they been here, what have they seen change? This is an invitation to walk in, sit down, and ask.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-132,Unpublished,,Neighborhood News,Did you know there's a federal detention facility in Sunset Park?,N/A,There's a federal detention facility in Sunset Park. A lot of people walk by it every day without knowing it's there. What is it? Who is held inside? What does it mean to live next to something like this — and what do neighbors think about it?,Unclaimed,,Ray Acheson,,Unassigned,Unassigned,,,"4/8/26 Ray - I probably won’t have time to work on it until June or July though, as April and May are really busy for me with work. STR-173's framing was narrower: what's happening inside MDC Brooklyn, and who is being held there.",
NYC-SP-STR-133,Unpublished,,Event Spotlight,What does a Sunday morning in Sunset Park actually look like?,N/A,"What does a Sunday morning in Sunset Park actually look like — for you, your neighbor, the person who's been here forty years, the person who just moved in? This story follows one resident through their ritual. Where do they go? What do they notice? What makes Sunday in this neighborhood feel like itself?",Unclaimed,,Mattie Akers,,Unassigned,Unassigned,,,3/10/26 — Mattie flagged this may combine with the Music Teacher story (SPS-0121) into a single Sunday Routine piece. Not yet confirmed.,
NYC-SP-STR-134,Unpublished,,Arts & Culture,Who's been photographing Sunset Park all these years?,N/A,"Someone in Sunset Park has been photographing the streets and the people on them for years. There's an archive. What's in it? What has the camera caught that memory alone would've let go? This could be a conversation, a photo essay, a portrait of someone who decided to pay attention.",Unclaimed,,Carmen Rivera,,Unassigned,Unassigned,,,Photographers of sunset park,
NYC-SP-STR-135,Unpublished,,Event Spotlight,What caption would you give this photo of Sunset Park?,N/A,"Reader participation. We run a photo from the neighborhood, readers send in captions, we print the best ones. Someone needs to pick the photo and figure out how people send answers back.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-136,Unpublished,,Business Spotlight,Did you know City League Coffee is roasting right here?,N/A,"There's a coffee roastery in Sunset Park. City League Coffee is doing it right here in the neighborhood. How did that happen? Who decided to build something like this here, and why? What does it mean to source, roast, and sell coffee in a place like Sunset Park? This could go toward the people, the process, the business — or all three.",Unclaimed,,Charlie Dewitt,,Unassigned,Unassigned,,,Charlie mentioned,
NYC-SP-STR-137,Unpublished,,Neighborhood Spotlight,Who is the birdman of Sunset Park?,N/A,"Somewhere in Sunset Park, there's a man who's become a quiet fixture among the neighborhood's birds and birders. Who is he? What does he know that most people walking by don't? This is a profile waiting to happen — start with curiosity and see where it leads.",Unclaimed,,Angela Sharp,,Unassigned,Unassigned,,,,
NYC-SP-STR-139,Unpublished,,Nature,What resources are available to Sunset Park families facing violence?,N/A,"November is Domestic Violence Awareness Month. What resources actually exist for people in Sunset Park who need help? Which organizations are doing the work? What are they seeing, and what do they say makes a difference? This story could be a guide, a set of portraits, or a deep look at one organization — but it starts by asking who's here and what they're doing.",Unclaimed,,Cinthya Orrala,,Unassigned,Unassigned,,,November Women Against Violence month,
NYC-SP-STR-141,Unpublished,,Business Spotlight,"Who runs Generoso's, and what keeps the neighborhood coming back?",N/A,"An Italian bakery and sandwich shop that's been feeding the neighborhood a long time. Who runs it now, who ran it before, and what keeps people coming back? Food, family, and a block that's changed around them.",On hold,,,Cinthya Orrala,Unassigned,Unassigned,,,"7/5/26 — On hold per 6/8 meeting: owner overwhelmed (staff quit, moving), photos in boxes. Follow up when the owner is ready.  3/17/26 — Cinthya spoke to Mariana at Generosos Bakery and Pizzeria and she agreed for an article to be published in the Sunset Park Sun. They have been in business for 36 years. She has been a customer of the bakery for many decades. She will send her the interview questions by email later on this week. Hopes to have this article ready for the May issue.  3/9/26 — Carmen unable to get interview after repeated outreach; Generoso's kept giving the runaround. Cinthya expressed interest in picking it up — not yet confirmed. Carmen and Maureen pivoting to Patel's instead.",
NYC-SP-STR-142,Unpublished,,Neighborhood News,What's going on with the burned building near P.S. 169?,N/A,"Near P.S. 169, a building at 702 44th Street has been wrapped in scaffolding since a fire. It's been a while. Residents say it might be a bat habitat. The owner is unclear. The timeline is murky. Who's responsible? What do neighbors want? This story has layers — pick the one that interests you most and start pulling.",Unclaimed,,,,Unassigned,Unassigned,,,"3/9/26 — Michal pitched the building at 702 44th St near P.S. 169 where scaffolding has been up since a fire. Ciel added angle: building may be a bat habitat; suggested reaching out to Urban Bats NYC. Terry offered multiple angles: community interviews, scaffolding explainer, vacancy survey, tracking progress. Not time-sensitive, no owner yet. See also: Sunset Post covered the building — https://www.sunsetpost.org/en/stories/burned-out-condo-stuck-between-insurance-gaps-and-tenant-rights",
NYC-SP-STR-143,Unpublished,,Community Resources,Do you know how to wear your baby safely?,N/A,"Babywearing is popular in Sunset Park, but a lot of new parents aren't sure how to do it safely. What are the basics? Who teaches it locally? Are there programs or community connections that can help? This story could be a guide, a conversation with an educator, or a way to connect parents with resources they didn't know existed.",Unclaimed,,,,Unassigned,Unassigned,,,"3/9/26 — Pitched by Ciel, seconded by Michal. Terry endorsed and suggested pairing with a library event/program — potentially partnering with @weartogethernyc or a babywearing educator. Terry framed this as a model: story + public program component.",
NYC-SP-STR-144,Unpublished,,Neighborhood News,What's it like to take the Sunset Park ferry?,N/A,"There's a ferry route that connects Sunset Park to the East Side of Manhattan. It exists. But who's actually using it? Is it making a difference for the people who live here, or is it mostly for someone else? This one could start at the dock and go from there.",Unclaimed,,,,Unassigned,Unassigned,,,"3/10/26 — Mattie interested in exploring the new ferry route from Sunset Park up the East Side of Manhattan. Vague, no timeline.",
NYC-SP-STR-145,Unpublished,,Neighborhood Spotlight,Do you know the story behind those church bells on 42nd Street?,N/A,"On 42nd Street, there's a church with a bell tower that's been ringing over the neighborhood for generations. Do you know which one? Do you know its history? This could be a story about the building, the parish, the people who still come — or just about what it means to hear those bells and wonder where they're coming from.",Claimed,,,Angela Sharp,Unassigned,Unassigned,,,"7/5/26 — Claimed by Angela per May editorial meeting (Terry's 5/16 recap).  3/10/26 — Mattie hears church bells and wants to find the source. Michal suggested St. Michael's on 42nd and 4th (prominent bell tower, historically second-tallest building in Brooklyn, old parish). Could expand to a building/history story. Vague, no timeline.",
NYC-SP-STR-147,Unpublished,,Arts & Culture,Have you ever been to the Morbid Anatomy Museum?,N/A,"The Morbid Anatomy Museum is in Sunset Park, and it hosts free events that draw curious people from all over the city. What happens inside? Who runs it? Who shows up? This one starts with a visit and an open mind — and probably ends somewhere unexpected.",Unclaimed,,,,Unassigned,Unassigned,,,"3/10/26 — Mattie wants to interview the folks behind the Morbid Anatomy Museum or cover a free event they host. Vague, no timeline.",
NYC-SP-STR-148,SPS: April 2026,04-2026,Event Spotlight,How do you join the Sunset Park Sun's bird walk?,Join us for Bird Watching!,"The Sunset Park Sun team announced an April 19 birding walk through the neighborhood, taking Charlie DeWitt's Bird of the Month feature off the page and out to the park, the waterfront, and nearby green spaces. The piece looked back at the hawks, geese, swans, cormorants, and monk parakeets the column has followed, described the walk as informal rather than expert-led, and told readers to RSVP for the 3 p.m. start at the MADE Campus at Bush Terminal.",Answered,,,"Terry Parris Jr., Charlie Dewitt",Terry Parris Jr.,Alfred Ng,Bird Walk Copy,,,
NYC-SP-STR-150,SPS: May 2026,05-2026,Community Resources,"What is AANHPI Heritage Month, and how does Sunset Park celebrate it?",Celebrating Asian American and Native Hawaiian/Pacific Islander Heritage Month in Sunset Park,"Susan P. explained what AANHPI Heritage Month is and how it came to be observed each May, tracing it from the 1978 congressional week marking the 1843 arrival of the first Japanese immigrants and the 1869 completion of the transcontinental railroad through the 1990 and 1992 acts designating the full month. She wrote it partly as personal essay, drawing on a Jeff Chang and Katie Gee Salisbury conversation about Bruce Lee and Anna May Wong at the Center for Brooklyn History, a Korean proverb about the name a person leaves behind, and the roughly 24 percent of area residents who identify as Asian, with a companion page listing local language classes, restaurants, and books.",Answered,,,Susan Parker,Terry Parris Jr.,Alfred Ng,May Submission AANHPI,,7/5/26 — Published in May 2026 issue.,
NYC-SP-STR-151,Unpublished,,Arts & Culture,What's happening at Green-Wood this Memorial Day?,N/A,"Green-Wood Cemetery hosts concerts and events around Memorial Day each year. This story would cover what's coming up, why the cemetery has become a cultural destination, and what it means for Sunset Park neighbors to have this space right next door.",On hold,,,,Unassigned,Unassigned,,,7/5/26 — Archived: Memorial Day passed without pickup. Revisit May 2027.  4/10/26 — Memorial Day tie-in. Story for May issue.,
NYC-SP-STR-152,SPS: May 2026,05-2026,Arts & Culture,What brought debut novelist Sara Gothelf Bloom to the Sunset Park Library?,Sunset Park Library Hosts Local Author Sara Gothelf Bloom,"Mattie A. covered Sara Gothelf Bloom's appearance at the Sunset Park branch of the Brooklyn Public Library, where the debut novelist spoke with Adult Librarian Jay Rosen about Just Enough to Start Over, her novel following two sisters who flee Nazi Germany in the late 1930s carrying their creative lives with them. The evening included two readings and a Q&A, and Bloom described the 25 years the book took to finish, the idea's origins while she was teaching Yiddish songs in Germany, her Flatbush upbringing, and the parallels she draws between Jewish refugees and her new Sunset Park neighbors.",Answered,,,Mattie Akers,Terry Parris Jr.,Alfred Ng,,,7/5/26 — Published in May 2026 issue. Written by Mattie Akers.  4/10/26 — Event is April 30 at 6pm at Sunset Park branch. Attend and write. Story for May issue.,
NYC-SP-STR-153,SPS: May 2026,05-2026,Arts & Culture,What is the real history behind Cinco de Mayo?,The History Behind Cinco de Mayo,"SimVio explained the history behind Cinco de Mayo, the May 5, 1862 Battle of Puebla in which General Ignacio Zaragoza's outnumbered Mexican army defeated the larger French force led by General Charles de Lorencez. The piece traced how the victory became a symbol of resistance and national pride, noted the holiday's more festive turn in the United States, and pointed readers to Sunset Park's own Puebla connections — the walk down 5th Avenue from 36th to 59th Street, and Cinco de Mayo Place, co-named at 43rd Street on May 7, 2017.",Answered,,,SimVio,Terry Parris Jr.,Alfred Ng,,,"7/5/26 — Published in May 2026 issue as ""The History Behind Cinco de Mayo.""  4/10/26 — Raised by Alfred. Story for May issue.",
NYC-SP-STR-154,Unpublished,,Neighborhood News,May is Bike Month. What does that mean in Sunset Park?,N/A,"May is National Bike Month, and Bike to Work Day falls in the middle of it. This story could follow a Sunset Park commuter, cover local cycling infrastructure, or connect to the neighborhood's relationship with the waterfront and greenways.",On hold,,,,Unassigned,Unassigned,,,"7/5/26 — Archived: seasonal story, didn't run in May. Revisit May 2027.  4/10/26 — Raised by Alfred. Bike to Work Day angle. Story for May issue.",
NYC-SP-STR-155,Unpublished,,Neighborhood News,What does May Day mean to workers in Sunset Park?,N/A,"May 1st is International Workers Day, and Sunset Park has one of the most working-class histories of any neighborhood in Brooklyn. This story connects the global day to local voices — who observes it here, what it means, and what labor looks like in the neighborhood today.",On hold,,,,Unassigned,Unassigned,,,"7/5/26 — Archived: seasonal story, didn't run in May. Revisit May 2027.  4/10/26 — Raised by Mattie. Story for May issue.",
NYC-SP-STR-156,Unpublished,,Neighborhood Spotlight,Who are the cat moms of Sunset Park?,N/A,"A Mother's Day story with a twist — the people in Sunset Park who care for neighborhood cats, manage feral colonies, or just happen to be devoted cat parents. Light, warm, and very shareable.",Unclaimed,,,,Unassigned,Unassigned,,,"7/5/26 — Unlinked from May (didn't run). Keeping alive as evergreen. Related record: ""Which Sunset Park bodega has the best cat?"" — bodega cats came up again at the 6/8 meeting.  4/10/26 — Raised by Cinthya. Story for May issue.",
NYC-SP-STR-157,Unpublished,,Neighborhood Spotlight,Whose flags fly in Sunset Park?,N/A,"Flag Day is June 14th. Sunset Park is one of the most diverse neighborhoods in Brooklyn, and the flags on storefronts, homes, and street poles tell a story about who lives here and where they came from. This is a visual and reported piece about who calls this neighborhood home.",On hold,,,,Unassigned,Unassigned,,,7/5/26 — Archived: Flag Day passed without pickup. Revisit June 2027.  4/10/26 — Raised by Edy. Originally noted as WTC Museum flags — redirected to a Flag Day / neighborhood identity story. Story for June issue.,
NYC-SP-STR-162,Unpublished,,Neighborhood News,"Why is the Sunset Park pool closed, and will it open this summer?",N/A,"The Sunset Park pool has been closed due to a citywide lifeguard shortage. Mayor Adams has proposed a Summer Youth program that could help address staffing, but lifeguard training courses don't reopen until October — after the summer season ends. There's also a Lifeguard Union that may have a role in the shortage. This story follows the question neighbors are actually asking: will the pool be open this summer, and who's responsible for making that happen?",Unclaimed,,,,Unassigned,Unassigned,,,4/10/26 — Raised at editorial working group 4/10. Lifeguard shortage + Summer Youth program + union angle. Courses reopen October — note for follow-up next year.,
NYC-SP-STR-163,Unpublished,,Neighborhood News,Why does so much city infrastructure end up in neighborhoods like Sunset Park?,N/A,"Sunset Park is home to a disproportionate number of city infrastructure and industrial facilities — a prison, trash transfer stations, a peaker plant for electricity. This story asks the question directly: why here? Who decided, when, and what's the history behind these siting decisions? This story follows the decisions — when they were made, by whom, and what the tradeoffs were.",Unclaimed,,,,Unassigned,Unassigned,,,"4/10/26 — Raised at editorial working group 4/10. Clusters around the El Chapo prison transfer, trash facilities, and the peaker plant. Bay Ridge circulars as contrast — how do neighborhoods find out about these decisions? Long-form / investigative angle.",
NYC-SP-STR-164,SPS: Anniversary Issue,09-2026,Neighborhood Spotlight,25 years later: How did 9/11 change Sunset Park?,25 years later: How did 9/11 change Sunset Park?,"September 2026 marks the 25th anniversary of 9/11. The idea is a dedicated issue that explores how Sunset Park experienced and responded to that day — the bucket brigades that came from the neighborhood, the firefighters across from the library, memorials, and how the neighborhood changed in the years after. Could include neighbor profiles, firefighter interviews, and archival research.",Unclaimed,,,,Unassigned,Unassigned,,,"4/10/26 — Raised at editorial working group 4/10. Story elements: bucket brigades, wind/archival records, firehouse across from library, neighborhood profiles, memorials. September issue, 25th anniversary. Connects to civil services thread.",
NYC-SP-STR-165,Unpublished,,Neighborhood News,"How much has rent gone up in Sunset Park, and why?",N/A,"Neighbors want to understand rent trends in Sunset Park — when increases happened, whether and how much they've changed, and what's driving them. Data sources like Zillow and city property records could anchor this with real numbers. A reported piece could connect the data to actual tenants and landlords.",Unclaimed,,,,Unassigned,Unassigned,,,"4/10/26 — Raised at editorial working group 4/10. Data angle: Zillow, city housing data. Connects to broader money/ownership cluster raised by Anna Yang. Needs a data-comfortable writer.",
